ano,uf,setor,porte_do_cliente,num_empregados
2004,MG,INDUSTRIA,MICRO,145452
2004,ES,INDUSTRIA,MICRO,26714
2004,RJ,INDUSTRIA,MICRO,67038
2004,SP,INDUSTRIA,MICRO,361924
2004,PR,INDUSTRIA,MICRO,100743
2004,SC,INDUSTRIA,MICRO,103076
2004,RS,INDUSTRIA,MICRO,120961
2004,MS,INDUSTRIA,MICRO,9735
2004,MT,INDUSTRIA,MICRO,19957
2004,GO,INDUSTRIA,MICRO,36294
2004,DF,INDUSTRIA,MICRO,7115
2003,RO,INDUSTRIA,MICRO,8111
2003,AC,INDUSTRIA,MICRO,1440
2003,AM,INDUSTRIA,MICRO,5670
2003,RR,INDUSTRIA,MICRO,587
2003,PA,INDUSTRIA,MICRO,14090
2003,AP,INDUSTRIA,MICRO,943
2003,TO,INDUSTRIA,MICRO,3262
2003,MA,INDUSTRIA,MICRO,6017
2003,PI,INDUSTRIA,MICRO,6862
2003,CE,INDUSTRIA,MICRO,27939
2003,RN,INDUSTRIA,MICRO,10075
2003,PB,INDUSTRIA,MICRO,10612
2003,PE,INDUSTRIA,MICRO,26785
2003,AL,INDUSTRIA,MICRO,4833
2003,SE,INDUSTRIA,MICRO,5557
2003,BA,INDUSTRIA,MICRO,29174
2003,MG,INDUSTRIA,MICRO,140400
2003,ES,INDUSTRIA,MICRO,25902
2003,RJ,INDUSTRIA,MICRO,66476
2003,SP,INDUSTRIA,MICRO,349328
2003,PR,INDUSTRIA,MICRO,95156
2003,SC,INDUSTRIA,MICRO,95433
2003,RS,INDUSTRIA,MICRO,114986
2003,MS,INDUSTRIA,MICRO,9595
2003,MT,INDUSTRIA,MICRO,18949
2003,GO,INDUSTRIA,MICRO,34045
2003,DF,INDUSTRIA,MICRO,6527
2002,RO,INDUSTRIA,MICRO,7691
2002,AC,INDUSTRIA,MICRO,1356
2002,AM,INDUSTRIA,MICRO,5603
2002,RR,INDUSTRIA,MICRO,547
