PETROM PETROQUIMICA MOGI DAS CRUZES S/A,"81 processos no TJSP, TRT2, TRT02, TRF3 e TJRS, 6 processos no TJSP, 2 processos no TJSP, 1 processo no TJSP, 1 processo no TJSP"
ESTADO DO RIO DE JANEIRO,"99.296 processos no TJRJ, STJ, STF, TJSP e TJPR, 41.196 processos no TJRJ, STJ, TRT1, STF e TRF2-RJ, 33.916 processos no STJ, TJRJ, TJSP, TRF02 e TRF2, 33.158 processos no TJRJ, STJ, STF, TRT1 e TJMG, 25.356 processos no TJRJ, STJ, STF, TRT1 e TJPB, 22.763 processos no TJRJ, TRT1, TST, TRT01 e TRF2"
AQUATICA MARICULTURA DO BRASIL LTDA - ME,"17 processos no TRT21, TJPE, TRT13, TJRN e STJ, 1 processo no TRT21, 1 processo no TRT13"
COMPANHIA DISTRIBUIDORA DE GAS DO RIO DE JANEIRO - CEG,"11.177 processos no TJRJ, TRT1, TRT01, STJ e TST, 890 processos no TJRJ, TRT1, STJ, TRT01 e TRF2-RJ, 158 processos no TJRJ e TJSP, 120 processos no TJRJ, STJ, TRT1, TJSP e TRF2, 49 processos no TJRJ, 38 processos no TJRJ e JFRJ"
NORPEX NORDESTE INDUSTRIAL DE EQUIPAMENTOS DE PROTECAO,"20 processos no TJPB e JFPB, 4 processos no TJPB"
PONTE DE PEDRA ENERGETICA S/A,"22 processos no TJMS, TJMT, TRF3, STJ e JFDF, 1 processo no TRF1 e JFDF, 1 processo no TRF3"
ELEB EQUIPAMENTOS LTDA,"198 processos no TRT15, TJSP, TRF1, TRF3 e TST, 1 processo no TRF3, 1 processo no TJSP, 1 processo no TJSP, 1 processo no TRT15"
AMBIENT SERVICOS AMBIENTAIS DE RIBEIRAO PRETO S/A,"79 processos no TRT15, TJSP, TRF03 e TRF3, 2 processos no TJSP"
CIA DE NAVEGACAO NORSUL,"328 processos no STJ, TRT17, TRF1, TRT12 e TRT5, 2 processos no TRT17, 1 processo no JFSP, 1 processo no TJRJ, 1 processo no TRF02"
ESTADO DA BAHIA,"322.325 processos no TJBA, STJ, TJSP, TJES e TJRJ, 257.316 processos no TJBA, TRT5, TRT05, STJ e TRF1, 174.781 processos no TJBA, STJ, TJSP, STF e TRF1, 58.115 processos no TJBA, TRT5, TRT05, STJ e STF, 35.552 processos no TJBA, TRF1, STJ, TRF01 e TRT5, 32.789 processos no TJBA, STJ, TJRJ, TJSP e TRF1"
